Unit   , x1              , y1              , x2              , y2              , x3              , y3              , EPSILON_X       , EPSILON_Y       , GAMMA_XY        , SIGMA_X         , SIGMA_Y         , TAU_XY          ,
     1 ,               0 ,               0 ,           0.125 ,           0.125 ,               0 ,           0.125 ,       -0.155133 ,               0 ,       -0.113377 ,       -0.174524 ,      -0.0581747 ,      -0.0425165 ,
     2 ,               0 ,               0 ,           0.125 ,               0 ,           0.125 ,           0.125 ,       -0.220537 ,       0.0531297 ,       -0.101103 ,        -0.22818 ,      -0.0229302 ,      -0.0379137 ,
     3 ,               0 ,           0.125 ,           0.125 ,            0.25 ,               0 ,            0.25 ,       -0.134215 ,               0 ,      -0.0896022 ,       -0.150992 ,      -0.0503305 ,      -0.0336008 ,
     4 ,               0 ,           0.125 ,           0.125 ,           0.125 ,           0.125 ,            0.25 ,       -0.155133 ,       0.0237752 ,      -0.0924595 ,       -0.165608 ,      -0.0314276 ,      -0.0346723 ,
     5 ,               0 ,            0.25 ,           0.125 ,           0.375 ,               0 ,           0.375 ,       -0.123629 ,               0 ,      -0.0752344 ,       -0.139082 ,      -0.0463607 ,      -0.0282129 ,
     6 ,               0 ,            0.25 ,           0.125 ,            0.25 ,           0.125 ,           0.375 ,       -0.134215 ,       0.0143678 ,      -0.0790163 ,       -0.145604 ,      -0.0341667 ,      -0.0296311 ,
     7 ,               0 ,           0.375 ,           0.125 ,             0.5 ,               0 ,             0.5 ,        -0.11685 ,               0 ,      -0.0650756 ,       -0.131457 ,      -0.0438188 ,      -0.0244034 ,
     8 ,               0 ,           0.375 ,           0.125 ,           0.375 ,           0.125 ,             0.5 ,       -0.123629 ,       0.0101588 ,      -0.0684559 ,       -0.135273 ,      -0.0349321 ,       -0.025671 ,
     9 ,               0 ,             0.5 ,           0.125 ,           0.625 ,               0 ,           0.625 ,       -0.111891 ,               0 ,      -0.0572011 ,       -0.125877 ,      -0.0419589 ,      -0.0214504 ,
    10 ,               0 ,             0.5 ,           0.125 ,             0.5 ,           0.125 ,           0.625 ,        -0.11685 ,      0.00787452 ,      -0.0601158 ,       -0.128504 ,        -0.03496 ,      -0.0225434 ,
    11 ,               0 ,           0.625 ,           0.125 ,            0.75 ,               0 ,            0.75 ,        -0.10794 ,               0 ,      -0.0507375 ,       -0.121432 ,      -0.0404773 ,      -0.0190266 ,
    12 ,               0 ,           0.625 ,           0.125 ,           0.625 ,           0.125 ,            0.75 ,       -0.111891 ,      0.00646365 ,      -0.0532502 ,       -0.123453 ,      -0.0346873 ,      -0.0199688 ,
    13 ,               0 ,            0.75 ,           0.125 ,           0.875 ,               0 ,           0.875 ,       -0.104605 ,               0 ,      -0.0452304 ,        -0.11768 ,      -0.0392268 ,      -0.0169614 ,
    14 ,               0 ,            0.75 ,           0.125 ,            0.75 ,           0.125 ,           0.875 ,        -0.10794 ,      0.00550705 ,      -0.0474027 ,       -0.119367 ,      -0.0342819 ,       -0.017776 ,
    15 ,               0 ,           0.875 ,           0.125 ,               1 ,               0 ,               1 ,       -0.101673 ,               0 ,      -0.0404181 ,       -0.114382 ,      -0.0381271 ,      -0.0151568 ,
    16 ,               0 ,           0.875 ,           0.125 ,           0.875 ,           0.125 ,               1 ,       -0.104605 ,      0.00481233 ,       -0.042298 ,       -0.115876 ,      -0.0338129 ,      -0.0158618 ,
    17 ,               0 ,               1 ,           0.125 ,           1.125 ,               0 ,           1.125 ,      -0.0990164 ,               0 ,      -0.0361367 ,       -0.111393 ,      -0.0371311 ,      -0.0135513 ,
    18 ,               0 ,               1 ,           0.125 ,               1 ,           0.125 ,           1.125 ,       -0.101673 ,      0.00428136 ,       -0.037762 ,       -0.112776 ,      -0.0333106 ,      -0.0141607 ,
    19 ,               0 ,           1.125 ,           0.125 ,            1.25 ,               0 ,            1.25 ,      -0.0965574 ,               0 ,      -0.0322771 ,       -0.108627 ,       -0.036209 ,      -0.0121039 ,
    20 ,               0 ,           1.125 ,           0.125 ,           1.125 ,           0.125 ,            1.25 ,      -0.0990164 ,       0.0038596 ,      -0.0336777 ,       -0.109946 ,      -0.0327891 ,      -0.0126292 ,
    21 ,               0 ,            1.25 ,           0.125 ,           1.375 ,               0 ,           1.375 ,      -0.0942435 ,               0 ,      -0.0287626 ,       -0.106024 ,      -0.0353413 ,       -0.010786 ,
    22 ,               0 ,            1.25 ,           0.125 ,            1.25 ,           0.125 ,           1.375 ,      -0.0965574 ,      0.00351454 ,      -0.0299632 ,       -0.107309 ,      -0.0322551 ,      -0.0112362 ,
    23 ,               0 ,           1.375 ,           0.125 ,             1.5 ,               0 ,             1.5 ,      -0.0920391 ,               0 ,       -0.025537 ,       -0.103544 ,      -0.0345146 ,     -0.00957636 ,
    24 ,               0 ,           1.375 ,           0.125 ,           1.375 ,           0.125 ,             1.5 ,      -0.0942435 ,      0.00322563 ,      -0.0265582 ,       -0.104814 ,      -0.0317124 ,     -0.00995931 ,
    25 ,               0 ,             1.5 ,           0.125 ,           1.625 ,               0 ,           1.625 ,       -0.089919 ,               0 ,      -0.0225578 ,       -0.101159 ,      -0.0337196 ,     -0.00845917 ,
    26 ,               0 ,             1.5 ,           0.125 ,             1.5 ,           0.125 ,           1.625 ,      -0.0920391 ,      0.00297918 ,      -0.0234169 ,       -0.102427 ,       -0.031163 ,     -0.00878133 ,
    27 ,               0 ,           1.625 ,           0.125 ,            1.75 ,               0 ,            1.75 ,      -0.0878651 ,               0 ,       -0.019792 ,      -0.0988482 ,      -0.0329494 ,     -0.00742202 ,
    28 ,               0 ,           1.625 ,           0.125 ,           1.625 ,           0.125 ,            1.75 ,       -0.089919 ,      0.00276573 ,      -0.0205038 ,       -0.100122 ,      -0.0306081 ,     -0.00768894 ,
    29 ,               0 ,            1.75 ,           0.125 ,           1.875 ,               0 ,           1.875 ,      -0.0858638 ,               0 ,      -0.0172136 ,      -0.0965967 ,      -0.0321989 ,     -0.00645509 ,
    30 ,               0 ,            1.75 ,           0.125 ,            1.75 ,           0.125 ,           1.875 ,      -0.0878651 ,      0.00257846 ,      -0.0177908 ,      -0.0978813 ,      -0.0300486 ,     -0.00667154 ,
    31 ,               0 ,           1.875 ,           0.125 ,               2 ,               0 ,               2 ,       -0.083905 ,               0 ,      -0.0148012 ,       -0.094393 ,      -0.0314643 ,     -0.00555045 ,
    32 ,               0 ,           1.875 ,           0.125 ,           1.875 ,           0.125 ,               2 ,      -0.0858638 ,      0.00241238 ,      -0.0152547 ,      -0.0956921 ,       -0.029485 ,     -0.00572053 ,
    33 ,               0 ,               2 ,           0.125 ,           2.125 ,               0 ,           2.125 ,      -0.0819807 ,               0 ,      -0.0125375 ,      -0.0922283 ,      -0.0307427 ,     -0.00470158 ,
    34 ,               0 ,               2 ,           0.125 ,               2 ,           0.125 ,           2.125 ,       -0.083905 ,      0.00226366 ,       -0.012877 ,      -0.0935442 ,      -0.0289177 ,     -0.00482886 ,
    35 ,               0 ,           2.125 ,           0.125 ,            2.25 ,               0 ,            2.25 ,       -0.080085 ,               0 ,      -0.0104082 ,      -0.0900956 ,      -0.0300318 ,     -0.00390307 ,
    36 ,               0 ,           2.125 ,           0.125 ,           2.125 ,           0.125 ,            2.25 ,      -0.0819807 ,      0.00212937 ,      -0.0106418 ,      -0.0914298 ,      -0.0283472 ,     -0.00399067 ,
    37 ,               0 ,            2.25 ,           0.125 ,           2.375 ,               0 ,           2.375 ,      -0.0782129 ,               0 ,       -0.008401 ,      -0.0879894 ,      -0.0293298 ,     -0.00315038 ,
    38 ,               0 ,            2.25 ,           0.125 ,            2.25 ,           0.125 ,           2.375 ,       -0.080085 ,      0.00200718 ,     -0.00853608 ,      -0.0893429 ,      -0.0277737 ,     -0.00320103 ,
    39 ,               0 ,           2.375 ,           0.125 ,             2.5 ,               0 ,             2.5 ,      -0.0763605 ,               0 ,     -0.00650575 ,      -0.0859056 ,      -0.0286352 ,     -0.00243966 ,
    40 ,               0 ,           2.375 ,           0.125 ,           2.375 ,           0.125 ,             2.5 ,      -0.0782129 ,      0.00189525 ,     -0.00654869 ,      -0.0872787 ,      -0.0271976 ,     -0.00245576 ,
    41 ,               0 ,             2.5 ,           0.125 ,           2.625 ,               0 ,           2.625 ,      -0.0745249 ,               0 ,     -0.00471368 ,      -0.0838405 ,      -0.0279468 ,     -0.00176763 ,
    42 ,               0 ,             2.5 ,           0.125 ,             2.5 ,           0.125 ,           2.625 ,      -0.0763605 ,      0.00179207 ,     -0.00467011 ,      -0.0852336 ,      -0.0266191 ,     -0.00175129 ,
    43 ,               0 ,           2.625 ,           0.125 ,            2.75 ,               0 ,            2.75 ,      -0.0727034 ,               0 ,     -0.00301728 ,      -0.0817913 ,      -0.0272637 ,     -0.00113148 ,
    44 ,               0 ,           2.625 ,           0.125 ,           2.625 ,           0.125 ,            2.75 ,      -0.0745249 ,       0.0016964 ,      -0.0028922 ,      -0.0832043 ,      -0.0260384 ,     -0.00108458 ,
