Unit   , x1              , y1              , x2              , y2              , x3              , y3              , EPSILON_X       , EPSILON_Y       , GAMMA_XY        , SIGMA_X         , SIGMA_Y         , TAU_XY          ,
     1 ,               0 ,               0 ,        0.526316 ,        0.526316 ,               0 ,        0.526316 ,        0.122655 ,               0 ,       0.0649389 ,        0.137987 ,       0.0459956 ,       0.0243521 ,
     2 ,               0 ,               0 ,        0.526316 ,               0 ,        0.526316 ,        0.526316 ,        0.165826 ,      -0.0416627 ,       0.0634311 ,         0.17093 ,        0.015314 ,       0.0237867 ,
     3 ,               0 ,        0.526316 ,        0.526316 ,         1.05263 ,               0 ,         1.05263 ,        0.106247 ,               0 ,       0.0435311 ,        0.119528 ,       0.0398426 ,       0.0163242 ,
     4 ,               0 ,        0.526316 ,        0.526316 ,        0.526316 ,        0.526316 ,         1.05263 ,        0.122655 ,      -0.0214078 ,       0.0485307 ,        0.129959 ,       0.0219118 ,        0.018199 ,
     5 ,               0 ,         1.05263 ,        0.526316 ,         1.57895 ,               0 ,         1.57895 ,       0.0954338 ,               0 ,       0.0293541 ,        0.107363 ,       0.0357876 ,       0.0110078 ,
     6 ,               0 ,         1.05263 ,        0.526316 ,         1.05263 ,        0.526316 ,         1.57895 ,        0.106247 ,      -0.0141769 ,        0.032718 ,        0.114211 ,       0.0238935 ,       0.0122693 ,
     7 ,               0 ,         1.57895 ,        0.526316 ,         2.10526 ,               0 ,         2.10526 ,       0.0864636 ,               0 ,       0.0188471 ,       0.0972716 ,       0.0324238 ,      0.00706766 ,
     8 ,               0 ,         1.57895 ,        0.526316 ,         1.57895 ,        0.526316 ,         2.10526 ,       0.0954338 ,      -0.0105071 ,       0.0203838 ,        0.103423 ,       0.0239671 ,      0.00764394 ,
     9 ,               0 ,         2.10526 ,        0.526316 ,         2.63158 ,               0 ,         2.63158 ,       0.0782707 ,               0 ,       0.0105964 ,       0.0880545 ,       0.0293515 ,      0.00397365 ,
    10 ,               0 ,         2.10526 ,        0.526316 ,         2.10526 ,        0.526316 ,         2.63158 ,       0.0864636 ,     -0.00825062 ,       0.0106542 ,       0.0941776 ,       0.0231419 ,      0.00399534 ,
    11 ,               0 ,         2.63158 ,        0.526316 ,         3.15789 ,               0 ,         3.15789 ,       0.0704424 ,               0 ,      0.00392723 ,       0.0792477 ,       0.0264159 ,      0.00147271 ,
    12 ,               0 ,         2.63158 ,        0.526316 ,         2.63158 ,        0.526316 ,         3.15789 ,       0.0782707 ,     -0.00666924 ,        0.002768 ,       0.0855536 ,       0.0218486 ,        0.001038 ,
    13 ,               0 ,         3.15789 ,        0.526316 ,         3.68421 ,               0 ,         3.68421 ,       0.0627908 ,               0 ,     -0.00151487 ,       0.0706396 ,       0.0235465 ,    -0.000568077 ,
    14 ,               0 ,         3.15789 ,        0.526316 ,         3.15789 ,        0.526316 ,         3.68421 ,       0.0704424 ,     -0.00544206 ,     -0.00372433 ,       0.0772069 ,       0.0202936 ,     -0.00139663 ,
    15 ,               0 ,         3.68421 ,        0.526316 ,         4.21053 ,               0 ,         4.21053 ,       0.0552305 ,               0 ,     -0.00592817 ,       0.0621342 ,       0.0207114 ,     -0.00222306 ,
